weight,ex_total,cur_total,diff
0.0,7.131868131868131,7.406593406593406,0.27472527472527464
0.005,7.126208791208789,7.409560439560439,0.2833516483516494
0.01,7.120549450549451,7.412527472527473,0.29197802197802236
0.015,7.1148901098901085,7.415494505494505,0.3006043956043962
0.02,7.109230769230767,7.418461538461537,0.3092307692307701
0.025,7.103571428571426,7.42142857142857,0.31785714285714395
0.03,7.097912087912086,7.4243956043956025,0.3264835164835169
0.035,7.092252747252745,7.427362637362637,0.3351098901098917
0.04,7.086593406593406,7.43032967032967,0.34373626373626465
0.045,7.080934065934065,7.433296703296703,0.3523626373626376
0.05,7.075274725274724,7.436263736263736,0.3609890109890115
0.055,7.069615384615384,7.439230769230768,0.36961538461538446
0.06,7.063956043956043,7.442197802197803,0.3782417582417592
0.065,7.058296703296703,7.445164835164836,0.38686813186813307
0.07,7.052637362637361,7.448131868131867,0.39549450549450604
0.075,7.046978021978021,7.451098901098901,0.4041208791208799
0.08,7.04131868131868,7.454065934065934,0.41274725274725377
0.085,7.03565934065934,7.457032967032968,0.4213736263736285
0.09,7.029999999999999,7.46,0.4300000000000006
0.095,7.024340659340659,7.462967032967033,0.4386263736263736
0.1,7.018681318681318,7.465934065934064,0.44725274725274655
0.105,7.013021978021977,7.468901098901098,0.4558791208791204
0.11,7.007362637362636,7.471868131868131,0.46450549450549516
0.115,7.001703296703297,7.474835164835164,0.47313186813186725
0.12,6.996043956043955,7.477802197802198,0.4817582417582429
0.125,6.990384615384615,7.48076923076923,0.490384615384615
0.13,6.984725274725274,7.483736263736263,0.4990109890109897
0.135,6.9790659340659325,7.486703296703295,0.5076373626373627
0.14,6.973406593406593,7.4896703296703295,0.5162637362637366
0.145,6.967747252747252,7.492637362637362,0.5248901098901104
0.15,6.962087912087911,7.495604395604394,0.5335164835164825
0.155,6.95642857142857,7.4985714285714264,0.5421428571428564
0.16,6.95076923076923,7.50153846153846,0.5507692307692302
0.165,6.94510989010989,7.504505494505494,0.5593956043956041
0.17,6.93945054945055,7.507472527472527,0.5680219780219771
0.17500000000000002,6.933791208791208,7.510439560439559,0.5766483516483509
0.18,6.928131868131868,7.513406593406592,0.5852747252747239
0.185,6.922472527472526,7.516373626373625,0.5939010989010987
0.19,6.9168131868131875,7.51934065934066,0.6025274725274725
0.195,6.911153846153845,7.522307692307691,0.6111538461538455
0.2,6.905494505494505,7.525274725274724,0.6197802197802194
0.20500000000000002,6.899835164835164,7.528241758241757,0.6284065934065932
0.21,6.894175824175824,7.53120879120879,0.6370329670329662
0.215,6.888516483516484,7.534175824175824,0.64565934065934
0.22,6.882857142857143,7.5371428571428565,0.6542857142857139
0.225,6.877197802197802,7.540109890109889,0.6629120879120869
0.23,6.871538461538462,7.543076923076923,0.6715384615384608
0.23500000000000001,6.865879120879121,7.546043956043955,0.6801648351648346
0.24,6.860219780219779,7.549010989010989,0.6887912087912094
0.245,6.854560439560438,7.55197802197802,0.6974175824175823
0.25,6.848901098901098,7.554945054945054,0.7060439560439562
0.255,6.843241758241757,7.557912087912087,0.7146703296703301
0.26,6.837582417582417,7.56087912087912,0.723296703296703
0.265,6.8319230769230765,7.5638461538461526,0.731923076923076
0.27,6.826263736263736,7.566813186813186,0.7405494505494499
0.275,6.820604395604396,7.569780219780219,0.7491758241758228
0.28,6.814945054945055,7.572747252747251,0.7578021978021958
0.28500000000000003,6.809285714285714,7.575714285714285,0.7664285714285706
0.29,6.803626373626373,7.578681318681317,0.7750549450549444
0.295,6.7979670329670325,7.581648351648351,0.7836813186813183
0.3,6.792307692307692,7.584615384615383,0.7923076923076913
0.305,6.786648351648352,7.587582417582417,0.8009340659340651
0.31,6.7809890109890105,7.5905494505494495,0.809560439560439
0.315,6.77532967032967,7.593516483516483,0.8181868131868129
0.32,6.76967032967033,7.596483516483516,0.8268131868131858
0.325,6.764010989010989,7.599450549450549,0.8354395604395597
0.33,6.758351648351648,7.602417582417582,0.8440659340659336
0.335,6.752692307692309,7.605384615384615,0.8526923076923065
0.34,6.747032967032966,7.608351648351646,0.8613186813186804
0.34500000000000003,6.741373626373627,7.611318681318681,0.8699450549450543
0.35000000000000003,6.735714285714286,7.614285714285714,0.8785714285714281
0.355,6.730054945054945,7.6172527472527465,0.8871978021978011
0.36,6.724395604395604,7.620219780219779,0.895824175824175
0.365,6.718736263736264,7.623186813186811,0.904450549450547
0.37,6.7130769230769225,7.626153846153845,0.9130769230769227
0.375,6.707417582417582,7.629120879120879,0.9217032967032965
0.38,6.701758241758242,7.632087912087912,0.9303296703296704
0.385,6.696098901098901,7.635054945054944,0.9389560439560425
0.39,6.690439560439559,7.6380219780219765,0.9475824175824172
0.395,6.684780219780219,7.64098901098901,0.9562087912087911
0.4,6.679120879120879,7.6439560439560434,0.9648351648351641
0.405,6.673461538461538,7.646923076923076,0.9734615384615379
0.41000000000000003,6.667802197802199,7.6498901098901095,0.9820879120879109
0.41500000000000004,6.662142857142856,7.652857142857141,0.9907142857142857
0.42,6.656483516483517,7.655824175824176,0.9993406593406586
0.425,6.650824175824176,7.658791208791209,1.0079670329670334
0.43,6.645164835164836,7.661758241758242,1.0165934065934055
0.435,6.639505494505493,7.6647252747252725,1.0252197802197793
0.44,6.633846153846154,7.667692307692306,1.0338461538461523
0.445,6.628186813186812,7.6706593406593395,1.042472527472528
0.45,6.622527472527473,7.673626373626375,1.0510989010989018
0.455,6.616868131868131,7.676593406593407,1.0597252747252766
0.46,6.611208791208791,7.679560439560439,1.0683516483516478
0.465,6.605549450549449,7.682527472527472,1.0769780219780225
0.47000000000000003,6.59989010989011,7.685494505494505,1.0856043956043955
0.47500000000000003,6.5942307692307685,7.688461538461539,1.0942307692307702
0.48,6.588571428571428,7.691428571428572,1.102857142857144
0.485,6.582912087912088,7.694395604395603,1.1114835164835153
0.49,6.577252747252746,7.697362637362637,1.1201098901098918
0.495,6.571593406593406,7.700329670329669,1.128736263736263
0.5,6.565934065934066,7.7032967032967035,1.1373626373626378
